date,WS MAX KM,TEMP MIN DEG,TEMP MAX DEG,RH MIN %,RH MAX %,RAIN SUM MM,Weather COLD/HOT,Weather Rainfall,Wind State,PM25
1/1/2016,14.8,12.2,30.7,31.4,86.4,0,COLD,DRY,Calm,#N/A
1/2/2016,16.9,12,29.4,31.6,84.4,0,COLD,DRY,Calm,#N/A
1/3/2016,13.7,12.4,29,36.3,82.7,0,COLD,DRY,Calm,#N/A
1/4/2016,11.9,12.7,29.5,34.6,85.8,0,COLD,DRY,Calm,#N/A
1/5/2016,14.8,12,29,31,83.9,0,COLD,DRY,Calm,#N/A
1/6/2016,13.3,12.4,29,32.1,83.7,0,COLD,DRY,Calm,#N/A
1/7/2016,11.2,11.7,29.8,36.7,84.2,0,COLD,DRY,Calm,#N/A
1/8/2016,10.1,13.4,29.6,39,84.5,0.2,COLD,DRY,Calm,#N/A
1/9/2016,12.2,17.7,31.8,33.8,100,0,COLD,DRY,Calm,#N/A
1/10/2016,16.9,14.9,28.7,32.7,100,0,COLD,DRY,Calm,#N/A
1/11/2016,16.6,11.2,29.1,26.5,86,0,COLD,DRY,Calm,#N/A
1/12/2016,19.8,11.1,26.6,33.1,82.8,0,COLD,DRY,Calm,#N/A
1/13/2016,20.2,11.1,27,34.8,83.6,0,COLD,DRY,Calm,#N/A
1/14/2016,15.1,11.7,28.1,34.1,83.3,0,COLD,DRY,Calm,#N/A
1/15/2016,14.8,12.1,29.7,33.6,86.2,0,COLD,DRY,Calm,#N/A
1/16/2016,16.6,14.4,29.8,32.2,100,0,COLD,DRY,Calm,#N/A
1/17/2016,17.6,13,28.6,37.4,84.6,0,COLD,DRY,Calm,#N/A
1/18/2016,16.6,12.6,28,30,85.4,0.2,COLD,DRY,Calm,#N/A
1/19/2016,15.5,13.6,29.1,36.5,85.1,0,COLD,DRY,Calm,#N/A
1/20/2016,17.6,16.6,27,52,86.6,0,COLD,DRY,Calm,#N/A
1/21/2016,15.1,14.6,25.3,52.7,86.7,0,COLD,DRY,Calm,#N/A
1/22/2016,23.4,12.1,22.8,51.7,99.8,0,COLD,DRY,Calm,#N/A
1/23/2016,25.2,10.5,24.7,38.8,100,0,COLD,DRY,Calm,#N/A
1/24/2016,20.2,8.8,25.1,30.5,88.4,0,COLD,DRY,Calm,#N/A
1/25/2016,20.5,6.8,26.4,27,84.7,0,COLD,DRY,Calm,#N/A
1/26/2016,21.2,8.7,26.2,28.8,81.5,0,COLD,DRY,Calm,#N/A
1/27/2016,11.9,8.8,26.6,34.3,84.6,0,COLD,DRY,Calm,#N/A
